Subject,Start Date,Start Time,End Date,End Time,Description,Location
LecA COSC367,07/12/2016,11:00 AM,07/12/2016,12:00 PM,Artificial Intelligence :: Cosc100Tutor, E9 Lecture Theatre
LecA COSC367,07/19/2016,11:00 AM,07/19/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
LecA COSC367,07/26/2016,11:00 AM,07/26/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
LecA COSC367,08/02/2016,11:00 AM,08/02/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
LecA COSC367,08/09/2016,11:00 AM,08/09/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
LecA COSC367,08/16/2016,11:00 AM,08/16/2016,12:00 PM,Artificial Intelligence :: Cosc100Tutor, E9 Lecture Theatre
LecA COSC367,09/06/2016,11:00 AM,09/06/2016,12:00 PM,Artificial Intelligence :: Cosc100Tutor, E9 Lecture Theatre
LecA COSC367,09/13/2016,11:00 AM,09/13/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
LecA COSC367,09/20/2016,11:00 AM,09/20/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
LecA COSC367,09/27/2016,11:00 AM,09/27/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
LecA COSC367,10/04/2016,11:00 AM,10/04/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
LecA COSC367,10/11/2016,11:00 AM,10/11/2016,12:00 PM,Artificial Intelligence :: Cosc100Tutor, E9 Lecture Theatre
LecB COSC367,07/21/2016,12:00 PM,07/21/2016,01:00 PM,"Artificial Intelligence :: Neshatian,K", C1 Lecture Theatre
LecB COSC367,07/28/2016,12:00 PM,07/28/2016,01:00 PM,Artificial Intelligence ::  Cosc100Tutor, C1 Lecture Theatre
LecB COSC367,08/04/2016,12:00 PM,08/04/2016,01:00 PM,Artificial Intelligence ::  Cosc100Tutor, C1 Lecture Theatre
LecB COSC367,08/11/2016,12:00 PM,08/11/2016,01:00 PM,Artificial Intelligence ::  Cosc100Tutor, C1 Lecture Theatre
LecB COSC367,08/18/2016,12:00 PM,08/18/2016,01:00 PM,"Artificial Intelligence :: Neshatian,K", C1 Lecture Theatre
